"File","Line","Tag","Id","Class","IdRaw","ClassRaw","Snippet"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\ViewMobJobDashboard.tsx","466","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\ViewMobJobDashboard.tsx","490","button","","","","","<button"
"app\e2e\components\Profile\Components\About\FormField.tsx","63","Button","","","","","<Button"
"app\e2e\components\Profile\Components\About\FormField.tsx","69","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Certification\FormField.tsx","57","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Certification\FormField.tsx","64","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Education\FormField.tsx","67","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Education\FormField.tsx","74","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Experience\FormField.tsx","66","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Experience\FormField.tsx","73","Button","","","","","<Button"
"app\e2e\components\Profile\Components\JobPreference\FormField.tsx","31","Button","","","","","<Button"
"app\e2e\components\Profile\Components\JobPreference\FormField.tsx","38","Button","","","","","<Button"
"app\e2e\components\Profile\Components\MobileNumber\Edit\EditField.tsx","118","Button","","","","","<Button"
"app\e2e\components\Profile\Components\MobileNumber\Edit\EditField.tsx","126","Button","","","","","<Button"
"app\e2e\components\Profile\Components\MobileNumber\Edit\MediaEditField.tsx","63","Button","","","","","<Button"
"app\e2e\components\Profile\Components\MobileNumber\Edit\MediaEditField.tsx","71","Button","","","","","<Button"
"app\e2e\components\Profile\Components\MobileNumber\MobileNumberDashboard.tsx","48","button","","","","","<button"
"app\e2e\components\Profile\Components\NameCard\FormField.tsx","98","Button","","","","","<Button"
"app\e2e\components\Profile\Components\NameCard\FormField.tsx","155","Button","","","","","<Button"
"app\e2e\components\Profile\Components\NameCard\FormField.tsx","162","Button","","","","","<Button"
"app\e2e\components\Profile\Components\NameCard\Mobile\MobileNameCard.tsx","127","button","","","","","<button"
"app\e2e\components\Profile\Components\NameCard\NameCardDashboard.tsx","134","button","","","","","<button"
"app\e2e\components\Profile\Components\PersonalDetails\FormField.tsx","54","Button","","","","","<Button"
"app\e2e\components\Profile\Components\PersonalDetails\FormField.tsx","61","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Project\FormField.tsx","53","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Project\FormField.tsx","60","Button","","","","","<Button"
"app\e2e\components\Profile\Components\PublicProfile\index.tsx","149","button","","p-2 rounded-full hover:bg-gray-100 transition-colors","","""p-2","<button className=""p-2 rounded-full hover:bg-gray-100 transition-colors"">"
"app\e2e\components\Profile\Components\RecruiterView\index.tsx","15","button","","","","","<button"
"app\e2e\components\Profile\Components\Skills\FormField.tsx","61","Button","","","","","<Button"
"app\e2e\components\Profile\Components\Skills\FormField.tsx","68","Button","","","","","<Button"
"app\e2e\components\Profile\Components\TrainingInstitution\FormField.tsx","60","Button","","","","","<Button"
"app\e2e\components\Profile\Components\TrainingInstitution\FormField.tsx","67","Button","","","","","<Button"
"app\e2e\components\Profile\Components\VerifyBtn\index.tsx","28","button","","","","","<button"
"app\e2e\components\VendorSignUp\index.tsx","692","button","","","","","<button"
"app\e2e\design-system\Button\Button.tsx","62","button","","","","","<button"
"app\e2e\design-system\Collapse\Cardcollapse\index.tsx","80","button","","","","","<button"
"app\e2e\design-system\Collapse\Cardcollapse\index.tsx","104","button","","btn-add","","""btn-add""","<button onClick={(e) => handleClick(e)} className=""btn-add"">"
"app\e2e\design-system\Collapse\Cardcollapse\index.tsx","125","button","","btn-add","","""btn-add""","<button onClick={(e) => handleClick(e)} className=""btn-add"">"
"app\e2e\design-system\DatePicker\Index.tsx","134","button","","","","","<button"
"app\e2e\design-system\DatePicker\Index.tsx","135","","","","","","type=""button"""
"app\e2e\design-system\Drawer\BottomDrawer\index.tsx","71","Button","","","","","<Button"
"app\e2e\design-system\HelperModal\index.tsx","100","Button","","","","","<Button"
"app\e2e\design-system\Input\Types\NavbarSearch.tsx","31","button","","","","","<button"
"app\e2e\design-system\Input\Types\NavbarSearch.tsx","32","","","","","","type=""button"""
"app\e2e\design-system\Modal\Modal.tsx","85","Button","","","","","<Button"
"app\e2e\design-system\Modal\Modal.tsx","93","Button","","","","","<Button"
"app\e2e\design-system\ShareInfoModal\ShareInfoModal.tsx","68","Button","","","","","<Button"
"app\e2e\design-system\ShareInfoModal\ShareInfoModal.tsx","77","Button","","","","","<Button"
"app\e2e\design-system\Tabs\index.tsx","35","button","","","","","<button"
"app\e2e\ui-components\AccessDenied\AccessDenied.tsx","22","button","","","","","<button"
"app\e2e\ui-components\Buttons\Primary\Primary.tsx","8","button","","","","","return <button {...props}>{children} </button>;"
"app\e2e\ui-components\Buttons\Secondary\Secondary.tsx","8","button","","","","","return <button {...props}>{children} </button>;"
"app\e2e\ui-components\SnackBar\ErrorSnackBar.tsx","42","button","","","","","<button"
"app\e2e\ui-components\SnackBar\SuccessSnackBar.tsx","41","button","","","","","<button"
"app\layout\components\IncompleteProfileModal\index.tsx","77","Button","","go-to-profile","","""go-to-profile""","<Button className=""go-to-profile"" onClick={openUserProfile}>"
"app\layout\components\ShareInformationModal\index.tsx","109","Button","","go-to-profile cancel","","""go-to-profile","<Button className=""go-to-profile cancel"" onClick={()=>setShowModal(false)}>"
"app\layout\components\ShareInformationModal\index.tsx","116","Button","","go-to-profile save","","""go-to-profile","<Button className=""go-to-profile save"" onClick={()=>updateUsersConsent()}>"
"app\presentation\auth\components\ResetLinkExpired\index.tsx","36","","","","","","htmlType=""button"""
"app\presentation\batch\BatchesList\BatchListByStatus.tsx","296","Button","","","","","<Button"
"app\presentation\batch\BatchesList\SetAssessmentsDates.tsx","176","Button","","","","","<Button onClick={setCompetencydate} text={t(""batchesList.setDate"")} type=""link"" />"
"app\presentation\batch\Reports\components\StudentAssessmentStatus\index.tsx","178","Button","","","","","<Button"
"app\presentation\BatchReport\StudentReport.tsx","172","Button","","","","","<Button type=""link"" onClick={this.exportToCSV}>"
